ID,nameSort,name1,name2,open,address1,address2,city,state,showAddressMap,zipCode,latitude,longitude,neighborhoodID,phone,tollFree,fax,URL,shortDescription,handicappedAccessible,freeParking
2,7 on Fulton,7 on Fulton,,1,700 Fulton St.,The Riverfront Hotel,New Orleans,LA,1,70130,29.9459989,-90.0652941,9,(504) 525-7555,,,www.7onfulton.com,"7 on Fulton, located inside the Wyndham Riverfront Hotel in New Orleans’ Warehouse District, offers contemporary fine dining without the fuss of a traditional fine dining atmosphere. Sleek design complements 7’s unusual dishes, served on playful plates, while service is attentive and exacting.",0,0
3,Acme Oyster And Seafood House,Acme Oyster And Seafood House,,1,724 Iberville St.,,New Orleans,LA,1,70130,29.9544423,-90.0688272,3,(504) 522-5973,,,www.acmeoyster.com,Acme has been doing what it does for nearly 100 years. Acme is a hard working,0,0
11,Antoine's,Antoine's,,1,713 St. Louis St.,,New Orleans,LA,1,70130,29.9566034,-90.0664066,3,(504) 581-4422 ,,,www.antoines.com,Since 1840,0,0
13,Arnaud's Restaurant,Arnaud's Restaurant,,1,813 Bienville St.,,New Orleans,LA,1,70112,29.9557187,-90.0687712,3,(504) 523-5433 ,,,www.arnaudsrestaurant.com,Leader of the culinary old guard since 1918. Dinner & Dixieland at world-famous Arnaud's with legendary Creole cuisine and music in the Jazz Room every night from 6:30. Sunday Brunch & Jazz. Fine cigars,0,0
33,Bayona,Bayona,,1,430 Dauphine St.,,New Orleans,LA,1,70112,29.9573951,-90.068145,3,(504) 525-4455 ,,,www.bayona.com,Bayona has been distinguished as one of the top 40 places to dine in the U.S. by Conde Nast in 1993. Bayona is located in a romantic 150 year old creole cottage in the historic French Quarter. You may choose to be served while seated in our lush tropical courtyard where you will dine on Chef Susan Spicer's nationally acclaimed cuisine.,0,0
41,Besh Steak,Besh Steak,,1,512 S. Peters St.,Harrah's Casino,New Orleans,LA,1,70130,29.94942,-90.065569,1,(504) 533-6111,,,www.harrahsneworleans.com/casinos/harrahs-new-orleans/restaurants-dining/the-besh-steakhouse-at-harrahs-detail.html,With 150 seats set amidst blue water-like crystal puddles and a dazzling amber bar,0,0
45,Bombay Club,Bombay Club,,1,830 Conti St.,,New Orleans,LA,1,70112,29.956794,-90.068589,3,(504) 586-0972,(800) 699-7711,,www.thebombayclub.com,The Bombay Club is an upscale restaurant and martini bistro located in the heart of the French Quarter. Our lovely facility is decorated in a plush British theme,0,0
48,Bourbon House Seafood and Oyster Bar,Bourbon House Seafood and Oyster Bar,,1,144 Bourbon St. ,,New Orleans,LA,1,70112,29.9545566,-90.0692501,3,(504) 522-0111,,,www.bourbonhouse.com,"Esquire Magazine ""Best New Restaurants in America""Ã‚Âù",0,0
49,Brennan's,Brennan's,,1,417 Royal St.,,New Orleans,LA,1,70130,29.956237,-90.066725,3,(504) 525-9711 ,,,www.brennansneworleans.com ,Located in the heart of the historic French Quarter within walking distance of most major hotels and attractions,0,0
50,Brigtsen's Restaurant,Brigtsen's Restaurant,,1,723 Dante St.,,New Orleans,LA,1,70118,29.945643,-90.13454,7,(504) 861-7610 ,,,www.brigtsens.com,Owned and operated by Frank and Marna Brigtsen,0,0
52,Broussard's,Broussard's,,1,819 Conti St.,,New Orleans,LA,1,70112,29.956612,-90.06823,3,(504) 581-3866 ,,,www.broussards.com,Located only 1/2 block from Bourbon Street,0,0
68,Cafe Adelaide,Cafe Adelaide,,1,300 Poydras St.,Loews Hotel,New Orleans,LA,1,70130,29.948399,-90.066133,1,(504) 595-3305,,,www.cafeadelaide.com,Part of Commander's Palace restaurants,0,0
69,Cafe Amelie,Cafe Amelie,,1,912 Royal St.,Princess of Monaco Courtyard,New Orleans,LA,1,70116,29.9599486,-90.062997,3,(504) 412-8965,,,,,0,0
70,Atchafalaya,Atchafalaya,,1,901 Louisiana Ave.,,New Orleans,LA,1,70115,29.9211484,-90.0879149,7,(504) 891-9626,,,www.cafeatchafalaya.com,This neighborhood favorite serves down-home Southern classics like crispy fried green tomatoes with remoulade sauce,0,0
76,Cafe Degas,Cafe Degas,,1,3127 Esplanade Ave.,,New Orleans,LA,1,70119,29.980355,-90.084205,11,(504) 945-5635 ,,,www.cafedegas.com,Named after the 19th century French Impressionist,0,0
79,Cafe Giovanni,Cafe Giovanni,,1,117 Decatur St.,,New Orleans,LA,1,70130,29.9523677,-90.0667722,3,(504) 529-2154 ,,,www.cafegiovanni.com,Award-winning Chef Duke LoCicero continues to serve up his delectable New World Italian cuisine at this chic eatery just a few blocks off Canal Street. From your first bite of prosciutto pinwheels to your last savory taste of pasta gambino,0,0
103,Casamento's Restaurant,Casamento's Restaurant,,1,4330 Magazine St.,,New Orleans,LA,1,70115,29.920594,-90.101054,7,(504) 895-9761 ,,,www.casamentosrestaurant.com,Casamento's Restaurant was established in 1919 and continues to bring in loyal customers. Casamento's oyster loaves have been acclaimed in numerous publications including,0,0
